第 1 周,Mar 19,Overview,About Statistics with R Specialization,10 min
第 5 周,Apr 16,The Project and Evaluation,Project Information,10 min
第 4 周,Apr 9,Inference for proportions,Lesson Learning Objectives,10 min
第 3 周,Apr 2,t-distribution and Comparing Two Means,Lesson Learning Objectives,10 min
第 1 周,Mar 19,Overview,More about Inferential Statistics,10 min
第 1 周,Mar 19,CLT and Sampling,Lesson Learning Objectives,10 min
第 1 周,Mar 19,CLT and Sampling,Introduction,4 min
第 1 周,Mar 19,CLT and Sampling,Sampling Variability and CLT,20 min
第 1 周,Mar 19,CLT and Sampling,CLT (for the mean) examples,10 min
第 1 周,Mar 19,Confidence Intervals,Lesson Learning Objectives,10 min
第 1 周,Mar 19,Confidence Intervals,Confidence Interval (for a mean),11 min
第 1 周,Mar 19,Confidence Intervals,Accuracy vs. Precision,7 min
第 1 周,Mar 19,Confidence Intervals,Required Sample Size for ME,4 min
第 1 周,Mar 19,Confidence Intervals,CI (for the mean) examples,5 min
第 5 周,Apr 16,The Project and Evaluation,Data Analysis Project,2h
第 5 周,Apr 16,The Project and Evaluation,Data Analysis Project,
第 4 周,Apr 9,Inference for proportions,Introduction,3 min
第 4 周,Apr 9,Inference for proportions,Sampling Variability and CLT for Proportions,15 min
第 4 周,Apr 9,Inference for proportions,Confidence Interval for a Proportion,9 min
第 4 周,Apr 9,Inference for proportions,Hypothesis Test for a Proportion,9 min
第 4 周,Apr 9,Inference for proportions,Estimating the Difference Between Two Proportions,17 min
第 4 周,Apr 9,Inference for proportions,Hypothesis Test for Comparing Two Proportions,13 min
第 4 周,Apr 9,Simulation based inference for proportions and chi-square testing,Lesson Learning Objectives,10 min
第 4 周,Apr 9,Simulation based inference for proportions and chi-square testing,Small Sample Proportions,10 min
第 4 周,Apr 9,Simulation based inference for proportions and chi-square testing,Examples,4 min
第 4 周,Apr 9,Simulation based inference for proportions and chi-square testing,Comparing Two Small Sample Proportions,5 min
第 4 周,Apr 9,Simulation based inference for proportions and chi-square testing,Chi-Square GOF Test,14 min
第 4 周,Apr 9,Simulation based inference for proportions and chi-square testing,The Chi-Square Independence Test,11 min
第 3 周,Apr 2,t-distribution and Comparing Two Means,Introduction,4 min
第 3 周,Apr 2,t-distribution and Comparing Two Means,t-distribution,7 min
第 3 周,Apr 2,t-distribution and Comparing Two Means,Inference for a mean,9 min
第 3 周,Apr 2,t-distribution and Comparing Two Means,Inference for comparing two independent means,8 min
第 3 周,Apr 2,t-distribution and Comparing Two Means,Inference for comparing two paired means,9 min
第 3 周,Apr 2,t-distribution and Comparing Two Means,Power,11 min
第 3 周,Apr 2,ANOVA and Bootstrapping,Lesson Learning Objectives,10 min
第 3 周,Apr 2,ANOVA and Bootstrapping,Comparing more than two means,6 min
第 3 周,Apr 2,ANOVA and Bootstrapping,ANOVA,9 min
第 3 周,Apr 2,ANOVA and Bootstrapping,Conditions for ANOVA,2 min
第 3 周,Apr 2,ANOVA and Bootstrapping,Multiple comparisons,6 min
第 3 周,Apr 2,ANOVA and Bootstrapping,Bootstrapping,8 min
第 3 周,Apr 2,Strengthen Your Understanding,Week 3 Suggested Readings and Practice Exercises,10 min
第 3 周,Apr 2,Strengthen Your Understanding,Week 3 Practice Quiz,8 questions
第 1 周,Mar 19,Strengthen Your Understanding,Week 1 Suggested Readings and Practice Exercises,10 min
第 1 周,Mar 19,Strengthen Your Understanding,Week 1 Practice Quiz,6 questions
第 1 周,Mar 19,Strengthen Your Understanding,Week 1 Quiz,7 questions
第 1 周,Mar 19,Data Analysis with R,Week 1 Lab Instructions,10 min
第 1 周,Mar 19,Data Analysis with R,Week 1 Lab,6 questions
第 4 周,Apr 9,Strengthen Your Understanding,Week 4 Suggested Readings and Practice Exercises,10 min
第 4 周,Apr 9,Strengthen Your Understanding,Week 4 Practice Quiz,9 questions
第 4 周,Apr 9,Strengthen Your Understanding,Week 4 Quiz,12 questions
第 4 周,Apr 9,Data Analysis with R,Week 4 Lab Instructions,10 min
第 4 周,Apr 9,Data Analysis with R,Week 4 Lab,13 questions
第 2 周,Mar 26,Hypothesis Testing,Lesson Learning Objectives,10 min
第 3 周,Apr 2,Strengthen Your Understanding,Week 3 Quiz,14 questions
第 3 周,Apr 2,Data Analysis with R,Week 3 Lab Instructions,10 min
第 3 周,Apr 2,Data Analysis with R,Week 3 Lab,7 questions
第 2 周,Mar 26,Hypothesis Testing,Another Introduction to Inference,4 min
第 2 周,Mar 26,Hypothesis Testing,Hypothesis Testing (for a mean),14 min
第 2 周,Mar 26,Hypothesis Testing,HT (for the mean) examples,9 min
第 2 周,Mar 26,Significance,Lesson Learning Objectives,10 min
第 2 周,Mar 26,Significance,Inference for Other Estimators,10 min
第 2 周,Mar 26,Significance,Decision Errors,8 min
第 2 周,Mar 26,Significance,Significance vs. Confidence Level,6 min
第 2 周,Mar 26,Significance,Statistical vs. Practical Significance,7 min
第 2 周,Mar 26,Strengthen Your Understanding,Week 2 Suggested Readings and Practice Exercises,10 min
第 2 周,Mar 26,Strengthen Your Understanding,Week 2 Practice Quiz,5 questions
第 2 周,Mar 26,Strengthen Your Understanding,Week 2 Quiz,8 questions
第 2 周,Mar 26,Data Analysis with R,Week 2 Lab Instructions,10 min
第 2 周,Mar 26,Data Analysis with R,Week 2 Lab,6 questions
